Species or strain,Genome size (kbp),Protein-coding gene number,Total gene number*,Gene-coding percentage**
Bacillus anthracis Ames,5227.3,5311,5439,81.71
Bacillus anthracis Ames 0581,5503.9,5617,5745,81.13
Bacillus anthracis Sterne,5228.7,5287,5415,84.98
Bacillus cereus ATCC 10987,5432.7,5844,6008,85.82
Bacillus cereus ATCC 14579,5427.1,5255,5402,81.91
Bacillus cereus E33L,5300.9,5134,5269,85.14
Bacillus cereus G9241,5934.9,6147,6316,81.24
Bacillus cereus NVH391-98,3915.8,3886,4033,81.99
Bacillus clausii KSM-K16,4303.9,4108,4205,86.95
Bacillus halodurans C-125,4202.4,4066,4172,86.05
Bacillus licheniformis Goettingen,4222.6,4196,4289,87.89
Bacillus licheniformis Novozymes,4222.3,4152,4245,86.78
Bacillus subtilis 168,4214.6,4106,4225,88.3
Bacillus thuringiensis konkukian 97-27,5237.7,5117,5264,85.15
Bacillus weihenstephanensis KBAB4,5602.5,5532,5629,81.97
Bacteroides fragilis NCTC9343,5241.7,4308,4400,89.74
Bacteroides fragilis YCH46,5311,4625,4717,90.52
Bacteroides thetaiotaomicron VPI-5482,6293.4,4816,4902,89.88
Bartonella henselae Houston-1,1931,1612,1664,76.73
Bartonella quintana Toulouse,1581.4,1308,1357,78.72
Bdellovibrio bacteriovorus HD100,3783,3583,3625,93.14
Bifidobacterium longum DJO10A,2375.3,1956,2020,83.21
Bifidobacterium longum NCC2705,2260.3,1729,1802,86.43
Blochmannia floridanus,705.6,589,635,84.91
Blochmannia pennsylvanicus BPEN,791.7,610,692,77.62
Bordetella bronchiseptica RB50,5339.2,5006,5070,92.34
Bordetella parapertussis 12822,4773.6,4402,4465,91.48
Bordetella pertussis Tohama I,4086.2,3806,3866,90.53
Borrelia burgdorferi B31,1519.9,1639,1677,86.04
Borrelia garinii Pbi,986.9,932,972,92.29
Bradyrhizobium japonicum USDA 110,9105.8,8317,8371,86.76
Bradyrhizobium sp. BTAi1,8422.4,7462,7518,86.45
Brevibacterium linens BL2,4510.7,3982,4038,86.42
Brucella abortus 2308,3278.3,3350,3414,87.68
Brucella abortus 9-941,3286.4,3085,3149,81.82
Brucella melitensis 16M,3294.9,3198,3264,86.67
Brucella suis 1330,3315.2,3273,3337,84.98
Buchnera aphidicola APS,655.7,574,609,87.4
Buchnera aphidicola Bp,618.4,507,542,82.28
Buchnera aphidicola Sg,654.2,555,590,84.14
Burkholderia ambifaria AMMD,7503.6,6539,6617,88.28
Burkholderia cenocepacia AU 1054,7249.5,6475,6555,88.1
Burkholderia cenocepacia HI2424,8139.1,7065,7146,84.74
Burkholderia mallei 10229,6065.2,5133,5201,79.68
Burkholderia mallei 10399,5933.9,4886,4947,80.6
Burkholderia mallei ATCC 23344,5835.5,4764,4831,77.88
Burkholderia mallei FMH,2273.4,2667,2687,78.9
Burkholderia mallei GB8 horse 4,5804.9,4822,4884,80.48
Burkholderia mallei JHU,2190.5,2581,2608,79.81
Burkholderia mallei NCTC 10247,5976.7,5096,5146,79.81
Burkholderia mallei NCTC 10247 (chr1+2),5848.4,5852,5965,86.4
Burkholderia mallei SAVP1,5283.5,4364,4438,80.98
Burkholderia pseudomallei 1106a (chr1+2),7089.2,7183,7263,87.44
Burkholderia pseudomallei 1655,7029.5,5410,5465,77.42
Burkholderia pseudomallei 1710a,7319.5,5502,5565,76.6
Burkholderia pseudomallei 1710b,7390.5,5479,5553,76.79
Burkholderia pseudomallei 668,7071.9,5433,5495,78.59
Burkholderia pseudomallei 668 (chr1+2),7040.4,7230,7307,87.89
Burkholderia pseudomallei K96243,7247.5,5855,5928,83.62
Burkholderia pseudomallei Pasteur,7346.6,5595,5653,77.26
Burkholderia pseudomallei S13,7388.3,5715,5771,78.01
Burkholderia sp. 383,8676.3,7739,7824,87.74
Burkholderia thailandensis E264,6724,5634,5704,86.95
Burkholderia vietnamiensis G4,8411,7920,7992,87.75
Burkholderia xenovorans LB400,9703.7,8930,9012,87.57
Burkholderia xenovorans LB400,9731.1,8957,9039,87.52
Caldicellulosiruptor saccharolyticus DSM 8903,2788.3,2602,2647,86.67
Campylobacter coli RM2228,1860.7,1967,2019,92.25
Campylobacter jejuni NCTC 11168,1641.5,1654,1707,95.41
Campylobacter jejuni RM1221,1777.8,1838,1891,91.83
Campylobacter lari RM2100,1562.9,1599,1651,94.54
Campylobacter upsaliensis RM3195,1773.8,1934,1984,93.46
Carboxydothermus hydrogenoformans Z-2901,2401.5,2620,2682,91
Caulobacter crescentus CB15,4016.9,3737,3794,90.56
Chlamydia muridarum Nigg,1080.5,911,954,90.58
Chlamydia trachomatis A/HAR-13,1052,919,960,90.96
Chlamydia trachomatis D/UW-3/CX,1042.5,894,937,90.83
Chlamydophila abortus S26/3,1144.4,961,1002,90.98
Chlamydophila caviae GPIC,1181.4,1005,1047,89.78
Chlamydophila felis Fe/C-56,1173.8,1013,1054,91.53
Chlamydophila pneumoniae AR39,1229.9,1110,1151,89.22
Chlamydophila pneumoniae CWL029,1230.2,1052,1118,88.76
Chlamydophila pneumoniae J138,1226.6,1069,1134,90.05
Chlamydophila pneumoniae TW-183,1225.9,1113,1154,90.55
Chlorobium limicola DSMZ 245,2761.9,2436,2483,85.87
Chlorobium phaeobacteroides BS1,4444.2,3791,3845,78.11
Chlorobium phaeobacteroides DSMZ 266,3114.3,2792,2840,85.18
Chlorobium tepidum TLS,2154.9,2252,2308,88.46
Chlorobium vibrioforme f. thiosulfatophilum DSMZ 265,1980.2,1747,1798,90.47
Chlorochromatium aggregatum,2572.1,2033,2081,89.07
Chloroflexus aurantiacus J-10-fl,5193.8,3938,3994,82.25
Chromobacterium violaceum ATCC 12472,4751.1,4407,4530,89.4
Chromohalobacter salexigens DSM 3043,3696.6,3319,3404,90.64
Chromohalobacter salexigens DSM 3043,3671,3347,3422,90.92
Clostridium acetobutylicum ATCC 824,4132.9,3848,3955,86.93
Clostridium beijerincki NCIMB 8052,5952.5,5068,5210,80.61
Clostridium difficile 630 ,4290.3,3742,3971,82
Clostridium perfringens 13,3085.7,2723,2849,85.1
Clostridium tetani E88,2873.3,2432,2504,85.96
Clostridium thermocellum ATCC 27405,3895,3163,3235,79.84
Clostridium thermocellum ATCC 27405,3843.3,3191,3307,83
Colwellia psychrerythraea 34H,5373.2,4910,5114,85.36
Corynebacterium diphtheriae NCTC 13129,2488.6,2320,2389,90.3
Corynebacterium efficiens YS-314,3219.5,2998,3069,90.83
Corynebacterium glutamicum ATCC 13032 Kalinowski ,3282.7,3058,3136,88.37
Corynebacterium glutamicum ATCC 13032 Nakagawa ,3309.4,3099,3177,87.83
Corynebacterium jeikeium K411,2476.8,2120,2229,89.94
Coxiella burnetii RSA 493,2032.7,2046,2091,84.29
Croceibacter atlanticus HTCC2559,2954.7,2719,2756,92.63
Crocosphaera watsonii WH8501,6285.4,5967,6011,78.22
Cupriavidus metallidurans CH34,6887.6,6312,6377,88.89
Cupriavidus necator (Ralstonia eutropha) JMP134,7255.3,6529,6613,88.53
Cytophaga hutchinsonii ATCC 33406,4433.2,3592,3640,89.65
Dechloromonas aromatica RCB,4501.1,4204,4280,92.39
Dehalococcoides ethenogenes 195,1469.7,1580,1629,90.2
Dehalococcoides sp. BAV1,1299.5,1314,1354,89.44
Dehalococcoides sp. CBDB1,1395.5,1458,1508,90.47
Deinococcus geothermalis DSM11300,3164.1,2993,3058,89.53
Deinococcus radiodurans R1,3284.2,3102,3159,87.71
Desulfitobacterium hafniense DCB-2,6083.8,4391,4463,69.23
Desulfitobacterium hafniense Y51,5727.5,5060,5137,85.21
Desulfotalea psychrophila LSv54,3659.6,3236,3343,86.02
Desulfotomaculum reducens MI-1,3467.3,3220,3272,83.57
Desulfovibrio desulfuricans G20,3730.2,3784,3862,91.13
Desulfovibrio vulgaris Hildenborough,3773.2,3531,3615,86.57
Desulfuromonas acetoxidans DSM 684,3529,3032,3065,87.31
Ehrlichia canis Jake,1315,944,983,72.91
Ehrlichia chaffeensis Arkansas,1176.2,1105,1145,79.94
Ehrlichia chaffeensis sapulpa,1005.8,805,834,72.99
Ehrlichia ruminantium Gardel,1499.9,980,1019,64.57
Ehrlichia ruminantium str. Welgevonden,1516,888,961,62
Ehrlichia ruminantium Welgevonden ARC-OVI,1516.4,943,982,63.32
Ehrlichia ruminantium Welgevonden CIRAD,1513,976,1015,63.94
Enterococcus faecalis V583,3360,3264,3344,86.53
Enterococcus faecium DO,2848.4,2722,2794,84.4
Erwinia carotovora subsp. atroseptica SCRI1043,5064,4492,4590,87.15
Erythrobacter litoralis HTCC2594,3052.8,3042,3088,92.05
Escherichia coli K12,4738.8,4359,4468,88.53
Escherichia coli O157:H7 EDL933,5620.5,5449,5571,87.81
Escherichia coli O6 CFT073,5231.4,5379,5489,88.66
Escherichia coli Sakai O157:H7,5591.2,5444,5571,88.19
Escherichia coli UTI89,5180,5211,5321,89.64
Exiguobacterium sp. 255-15,2894.1,2976,3073,89.35
Flavobacterium johnsoniae UW101,6069.8,4985,5037,87.26
Francisella tularensis SCHU S4,1892.8,1804,1863,88.25
Frankia sp. CcI3,5381.4,4561,4611,85.5
Frankia sp. CcI3,5433.6,4548,4600,85.56
Frankia sp. EAN1pec,9081.4,7981,8039,85.68
Fusobacterium nucleatum nucleatum ATCC 25586,2174.5,2067,2129,90.05
Fusobacterium nucleatum subsp. vincentii ATCC 49256,2118.3,2250,2327,86.04
Geobacillus kaustophilus HTA426,3592.7,3540,3654,86.1
Geobacter metallireducens GS-15,4011.2,3576,3631,91.55
Geobacter metallireducens GS-15,4011.2,3576,3631,91.55
Geobacter sulfurreducens PCA,3814.1,3447,3502,89.92
Geobacter uraniumreducens Rf4,4882.3,4187,4188,85.94
Gloeobacter violaceus PCC 7421,4659,4430,4478,89.31
Gluconobacter oxydans 621H,2922.4,2664,2732,90.02
Haemophilus ducreyi 35000HP,1699,1717,1784,86.62
Haemophilus influenzae 86-028NP,1913.4,1792,1869,88.53
Haemophilus influenzae R2846,1824.2,1691,1759,89.11
Haemophilus influenzae R2866,1933.3,1817,1892,89.24
Haemophilus influenzae Rd KW20,1830.1,1709,1785,87.24
Haemophilus somnus 129PT,2008.4,1779,1845,89.59
Haemophilus somnus 2336,2247.7,2081,2131,87.99
Hahella chejuensis KCTC 2396,7215.3,6778,6860,88.2
Halorhodospira halophila SL1,2674.3,2423,2423,92.1
Halothermothrix orenii H 168,2464,2273,2274,87.08
Helicobacter hepaticus ATCC 51449,1799.1,1875,1939,93.44
Helicobacter pylori 26695,1667.9,1566,1609,90.04
Helicobacter pylori J99,1643.8,1491,1531,90.69
Herminiimonas arsenicoxydans ,3424.3,3325,3391,87
Idiomarina loihiensis L2TR,2839.3,2628,2697,92.8
Jannaschia sp. CCS1,4404,4283,4328,90.77
Jannaschia sp.CCS1,4399.7,4292,4337,90.87
Kineococcus radiotolerans SRS30216,4894,4561,4618,90.69
Lactobacillus acidophilus NCFM,1993.6,1864,1944,89.27
Lactobacillus brevis ATCC367,1880.8,1550,1600,72.96
Lactobacillus casei ATCC334,2760.7,2478,2529,71.74
Lactobacillus delbrueckii bulgaricus ATCCBAA-365,1629.4,1543,1622,73.33
Lactobacillus gasseri ATCC33323,1950.2,1695,1757,84.09
Lactobacillus johnsonii NCC 533,1992.7,1820,1915,90.85
Lactobacillus plantarum WCFS1,3308.3,3051,3137,85.25
Lactobacillus reuteri 100-23,2174.3,1972,2037,85.95
Lactobacillus reuteri JCM 1112,1788.9,1707,1758,85.97
Lactobacillus reuteri JCM 1112,1788.9,1707,1758,85.97
Lactobacillus sakei sakei 23K,1884.7,1884,1968,88.73
Lactobacillus salivarius UCC118,2134,2017,2116,84.39
Lactococcus lactis cremoris SK11,2613.2,2628,2690,73.03
Lactococcus lactis lactis Il1403,2365.6,2266,2346,85.88
Legionella pneumophila Lens,3345.7,2947,2999,88.58
Legionella pneumophila Paris,3503.6,3082,3134,88.41
Legionella pneumophila Philadelphia 1,3397.8,2942,2997,88.67
Leifsonia xyli xyli CTCB07,2584.2,2030,2078,70.42
Leptospira interrogans serovar Copenhageni Fiocruz,4627.4,3658,3700,74.98
Leptospira interrogans serovar Lai 56601,4691.2,4725,4766,78.18
Leuconostoc mesenteroides ATCC 8293,1976.6,1869,1921,85.68
Listeria innocua Clip11262,3093.1,3061,3145,89.97
Listeria monocytogenes 4b F2365,2905.3,2821,2906,89.43
Listeria monocytogenes EGD-e,2944.5,2855,2940,90.22
Listeria monocytogenes str. 1/2a F6854,2950.3,2967,3052,89.53
Listeria monocytogenes str. 4b H7858,2972.3,3111,3191,89.65
Lyngbya aestuarii,7037.5,2505,6142,87.36
Magnetococcus sp. MC-1,4628.7,3718,3770,86.1
Magnetospirillum magneticum AMB-1,4967.1,4559,4763,88.36
Magnetospirillum magnetotacticum MS-1,4503.3,4306,4357,89.72
Mannheimia succiniciproducens MBEL55E,2314.1,2384,2463,90.81
Marinobacter aquaeolei VT8,4648,4158,4210,89.7
Mesoplasma florum L1,793.2,683,716,94.19
Mesorhizobium loti MAFF303099,7596.3,7281,7341,85.91
Mesorhizobium sp. BNC1,4978,4480,4537,87.93
Methylobacillus flagellatus KT,2851.3,2505,2553,87.36
Methylobacillus flagellatus KT,2971.5,2759,2811,90.73
Methylococcus capsulatus Bath,3304.6,2959,3011,89.6
Moorella thermoacetica ATCC 39073,2628.8,2523,2577,87.86
Mycobacterium avium paratuberculosis k10,4829.8,4350,4399,91.51
Mycobacterium bovis AF2122/97,4345.5,3953,4002,91.05
Mycobacterium leprae TN,3268.2,2720,2768,76.87
Mycobacterium sp. JLS ,6048.4,5739,5845,92
Mycobacterium tuberculosis CDC1551,4403.8,4189,4238,90.37
Mycobacterium tuberculosis H37Rv,4411.5,3999,4047,91.09
Mycoplasma gallisepticum R,996.4,726,765,88.43
Mycoplasma genitalium G-37,580.1,480,519,91.47
Mycoplasma hyopneumoniae 232,892.8,691,724,90.51
Mycoplasma hyopneumoniae 7448,920.1,663,726,86.69
Mycoplasma hyopneumoniae J,897.4,665,728,88.41
Mycoplasma mobile 163K,777.1,635,666,91.64
Mycoplasma mycoides SC PG1,1211.7,1016,1052,82.45
Mycoplasma penetrans HF-2,1358.6,1037,1072,89.09
Mycoplasma pneumoniae M129,816.4,688,728,88.69
Mycoplasma pulmonis UAB CTIP,963.9,782,814,90.73
Mycoplasma synoviae 53,799.5,672,747,90.64
Neisseria gonorrhoeae FA 1090,2153.9,2002,2069,79.15
Neisseria meningitidis MC58,2272.4,2025,2097,78.7
Neisseria meningitidis Z2491,2184.4,2121,2191,83.79
Neorickettsia sennetsu Miyayama,859,932,968,88.02
Nitrobacter hamburgensis X14,5010.3,4669,4728,83.19
Nitrobacter hamburgensis X14,5011.5,4673,4731,83.91
Nitrobacter winogradskyi Nb-255,3402.1,3143,3195,84.9
Nitrosococcus oceani ATCC 19707,3522.1,3132,3183,86.77
Nitrosomonas europaea ATCC 19718,2812.1,2574,2619,88.49
Nitrosomonas eutropha C71,2712,2544,2588,86.73
Nitrosospira multiformis ATCC25196,3234.3,2827,2873,85.64
Nocardia farcinica IFM 10152,6292.3,5936,5999,90.34
Nocardioides sp. JS614,5394.1,4902,4954,89.35
Nostoc punctiforme PCC73102,9059.2,7364,7465,80.91
Nostoc sp. PCC 7120,7000,5366,5430,82
Novosphingobium aromaticivorans DSM 12444,4226.6,3765,3823,90.79
Novosphingobium aromaticivorans DSM 12444,3561.6,3338,3404,92.2
Oceanicaulis alexandrii HTCC2633,3168.2,3029,3077,90.53
Oceanobacillus iheyensis HTE831,3630.5,3496,3588,85.38
Oenococcus oeni PSU-1,1782.8,1788,1834,84.14
Onion yellows phytoplasma OY-M,860.6,754,792,74.08
Parachlamydia sp. UWE25,2414.5,2031,2075,82.75
Paracoccus denitrificans PD1222,5175.7,5101,5157,91.75
Pasteurella multocida subsp. multocida Pm70,2257.5,2014,2090,90.34
Pediococcus pentosaceus ATCC25745,1814.6,1660,1722,86.08
Pelagibacter ubique HTCC1062,1308.8,1354,1406,96.06
Pelobacter carbinolicus DSM 2380,3662.3,3145,3205,86.72
Pelobacter propionicus DSM 2379,4466.7,3828,3896,83.47
Pelodictyon luteolum DSMZ 273(T),2364.8,2133,2187,90.55
Pelodictyon phaeoclathratiforme BU-1,3000.2,2762,2814,86.28
Photobacterium profundum SS9,6403.3,5480,5697,82.65
Photorhabdus luminescens laumondii TTO1,5689,4905,5012,84.24
Polaromonas naphthalenivorans CJ2,5340.2,4973,5022,88.9
Polaromonas sp. JS666,5912.3,5662,5709,88.97
Polaromonas sp. JS666,5898.7,5569,5616,88.6
Porphyromonas gingivalis W83,2343.5,1909,1974,83.33
Prochlorococcus marinus MED4,1658,1716,1756,88.48
Prochlorococcus marinus MIT 9313,2410.9,2273,2324,82.28
Prochlorococcus marinus str. MIT 9211,1839,2123,2168,89
Prochlorococcus marinus str. MIT 9301 ,1641.9,1907,1963,90
Prochlorococcus marinus str. MIT 9303,2682.7,2997,3136,84
Prochlorococcus marinus str. MIT 9312,1709,1809,1855,89
Prochlorococcus marinus str. NATL2A,1843,1890,1938,85
Prochlorococcus marinus subsp. marinus CCMP1375,1751.1,1882,1926,89.13
Prochlorococcus marinus subsp. marinus str. SS120 (CCMP1375),1751,1882,1930,88
Prochlorococcus marinus subsp. pastoris str. CCMP1986(MED4) ,1668,1712,1760,87
Prochlorococcus sp. CC9902 (coastal),2234.8,2321,2372,90.31
Propionibacterium acnes KPA171202,2560.3,2297,2351,89.87
Prosthecochloris aestuarii SK413,2563.2,2315,2359,87.41
Pseudoalteromonas atlantica T6c,5095,4231,4297,86.68
Pseudoalteromonas haloplanktis TAC 125,3850.3,3487,3621,88.39
Pseudomonas aeruginosa PAO1,6264.4,5566,5642,89.59
Pseudomonas aeruginosa UCBPP-PA14,6524.1,5688,5754,85.93
Pseudomonas fluorescens Pf-5,7074.9,6137,6295,89.06
Pseudomonas fluorescens PfO-1,6438.4,5745,5837,90.42
Pseudomonas putida F1,5925.1,5251,5341,89.13
Pseudomonas putida KT2440,6181.9,5350,5445,87.19
Pseudomonas syringae B728a,6093.7,5137,5217,88.5
Pseudomonas syringae phaseolicola 1448A,6112.4,5170,5312,84.15
Pseudomonas syringae pv. tomato DC3000,6538.3,5608,5688,85.38
Psychrobacter arcticum 273-4,2650.7,2147,2208,82.06
Psychrobacter cryohalolentis K5,3081.1,2485,2538,83.08
Psychrobacter cryohalolentis K5,3101.1,2515,2575,83.8
Psychrobacter sp. PRwf-1,2953.1,2350,2394,83.77
Ralstonia solanacearum GMI1000,5810.9,5120,5189,87.78
Rhizobium etli CFN 42,4382,4043,4126,91.89
Rhizobium etli CFN 42,6159,5627,5686,86.42
Rhodobacter sphaeroides 2.4.1,4603.1,4304,4367,88.28
Rhodobacter sphaeroides ATCC 17025,4479.4,4248,4296,88.68
Rhodobacter sphaeroides ATCC 17029,4462,3971,4019,88.28
Rhodobacter sphaeroides ATCC 17029 (chr1+2),4366.8,4025,4135,88.16
Rhodoferax ferrireducens DSM 15236,4926.7,4378,4427,88.56
Rhodoferax ferrireducens DSM 15236,4969.8,4495,4546,90.32
Rhodopirellula baltica SH 1,7145.6,7321,7403,94.95
Rhodopirellula baltica SH1,7146,7325,7404,94
Rhodopseudomonas palustris BisA53,5502.4,4913,4969,86.33
Rhodopseudomonas palustris BisB18,5505,4949,5007,86.01
Rhodopseudomonas palustris BisB18,5513.8,4943,4999,86.23
Rhodopseudomonas palustris BisB5,4890.4,4385,4443,87.09
Rhodopseudomonas palustris BisB5,4892.7,4418,4475,87.24
Rhodopseudomonas palustris CGA009,5467.6,4840,4897,87.53
Rhodopseudomonas palustris HaA2,5331.5,4683,4736,87.62
Rhodopseudomonas palustris HaA2,5331.7,4712,4765,87.58
Rhodoseudomonas palustris CGA009,5459,4813,4891,87
Rhodospirillum rubrum ATCC 11170,4406.6,3850,3917,88.82
Rickettsia akari Hartford,1231.1,1217,1253,77.43
Rickettsia bellii RML369-C,1522.1,1429,1466,85.39
Rickettsia conorii Malish 7,1268.8,1374,1410,80.84
Rickettsia felis URRWXCal2,1587.2,1512,1548,83.82
Rickettsia prowazekii Madrid E,1111.5,834,870,76.03
Rickettsia rickettsii,1257.7,1311,1346,78.5
Rickettsia sibirica 246,1250,1234,1270,78.13
Rickettsia typhi Wilmington,1111.5,838,874,75.92
Roseovarius nubinhibens ISM,3668.7,3547,3597,89.58
Rubrivivax gelatinosus PM1,4643.7,4475,4548,91.89
Rubrobacter xylanophilus DSM 9941,3299.4,2990,3039,86.62
Saccharophagus degradans 2-40,5057.5,4017,4064,87.03
Saccharophagus degradans 2-40,5057.5,4017,4064,86.99
Saccharopolyspora erythraea NRRL 2338 ,8212.8,7191,7264,84
Salinibacter ruber DSM 13855,3587.3,2833,2880,84.88
Salmonella enterica choleraesuis SC-B67,4944,4666,4773,84.26
Salmonella enterica CT18,4809,4395,4711,83
Salmonella enterica Paratyphi-A SARB42,4585.2,4093,4197,83.22
Salmonella enterica Typhi CT18,5133.7,4980,5082,88.07
Salmonella enterica Typhi Ty2,4792,4323,4423,83.08
Salmonella typhimurium LT2,4951.4,4554,4692,87.28
Shewanella amazonensis SB2B,4264.5,3577,3702,87.83
Shewanella baltica OS155,5084.3,4334,4458,82.56
Shewanella baltica OS155 (chr),5127.4,4307,4521,83
Shewanella denitrificans OS217,4491.5,3722,3840,84.27
Shewanella denitrificans OS217,4545.9,3778,3896,85.68
Shewanella frigidimarina NCMB400,4782.4,4002,4124,84.41
Shewanella loihica PV-4,4602.6,3859,3993,85
Shewanella oneidensis MR-1,5131.4,4778,4908,83.89
Shewanella putrefaciens CN-32,4577.7,3981,4095,85.15
Shewanella sp. ANA-3 ,5100.7,4241,4353,85.99
Shewanella sp. MR-4 ,4579.2,3852,3928,85.44
Shewanella sp. MR-7,4546.4,3824,3920,85.56
Shewanella sp. PV-4,4474.5,3704,3811,85.72
Shewanella sp. W3-18-1,4754,4117,4241,84.35
Shigella boydii sv4 Sb227,4646.5,4290,4403,81.1
Shigella dysenteriae sv1 Sd197,4552,4500,4607,77.88
Shigella flexneri 2a 2457T,4599.4,4073,4195,78.05
Shigella flexneri 2a 301,4828.8,4703,4822,86.98
Shigella sonnei Ss046,5039.7,4462,4581,81.02
Silicibacter pomeroyi DSS-3,4601.1,4252,4314,89.92
Silicibacter sp. TM1040,4198.3,3860,3932,88.15
Sinorhizobium meliloti 1021,6691.7,6205,6270,86.25
Sinorhizobium meliloti 1021,6691.7,6205,6269,86.25
Solibacter usitatus Ellin6076,9949.9,8098,8157,90.92
Sphingopyxis alaskensis RB2256,3343.4,3199,3247,91.37
Staphylococcus aureus bovine RF122,2742.5,2589,2665,84.81
Staphylococcus aureus COL,2813.9,2618,2690,83.69
Staphylococcus aureus JH1,2879.6,2681,2737,83.69
Staphylococcus aureus JH9,2862.9,2673,2674,83.53
Staphylococcus aureus MRSA252,2902.6,2744,2820,84.79
Staphylococcus aureus MSSA476,2820.5,2643,2722,84.81
